id	institutionCode	collectionCode	basisOfRecord	occurrenceID	organismQuantity	organismQuantityType	occurrenceStatus	eventDate	country	locality	minimumDepthInMeters	maximumDepthInMeters	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	footprintWKT	scientificNameID	scientificName
REIS548	CMLRE	SS394	HumanObservation	REIS548			present	2019-12-24	India	Angria Bank	16	32	16.367	72.155			urn:lsid:marinespecies.org:taxname:205469	Acropora
REIS549	CMLRE	SS394	HumanObservation	REIS549			present	2019-12-27	India	Angria Bank	16	32	16.5838	72.0394			urn:lsid:marinespecies.org:taxname:204599	Astreopora
REIS550	CMLRE	SS394	HumanObservation	REIS550			present	2019-12-26	India	Angria Bank	16	32	16.433	72.0597			urn:lsid:marinespecies.org:taxname:206905	Coeloseris
REIS551	CMLRE	SS394	HumanObservation	REIS551			present	2019-12-24	India	Angria Bank	16	32	16.367	72.155			urn:lsid:marinespecies.org:taxname:206048	Leptoseris
REIS552	CMLRE	SS394	HumanObservation	REIS552			present	2019-12-24	India	Angria Bank	16	32	16.367	72.122			urn:lsid:marinespecies.org:taxname:206048	Leptoseris
REIS553	CMLRE	SS394	HumanObservation	REIS553			present	2019-12-25	India	Angria Bank	16	32	16.385	72.039			urn:lsid:marinespecies.org:taxname:206048	Leptoseris
REIS554	CMLRE	SS394	HumanObservation	REIS554			present	2019-12-26	India	Angria Bank	16	32	16.48	72.0597			urn:lsid:marinespecies.org:taxname:206048	Leptoseris
REIS555	CMLRE	SS394	HumanObservation	REIS555			present	2019-12-27	India	Angria Bank	16	32	16.5838	72.0394			urn:lsid:marinespecies.org:taxname:206048	Leptoseris
REIS556	CMLRE	SS394	HumanObservation	REIS556			present	2019-12-24	India	Angria Bank	16	32	16.367	72.122			urn:lsid:marinespecies.org:taxname:206073	Pachyseris
REIS557	CMLRE	SS394	HumanObservation	REIS557			present	2019-12-27	India	Angria Bank	16	32	16.5838	72.0394			urn:lsid:marinespecies.org:taxname:206073	Pachyseris
REIS558	CMLRE	SS394	HumanObservation	REIS558			present	2019-12-24	India	Angria Bank	16	32	16.367	72.122			urn:lsid:marinespecies.org:taxname:206614	Pavona
REIS559	CMLRE	SS394	HumanObservation	REIS559			present	2019-12-26	India	Angria Bank	16	32	16.433	72.0597			urn:lsid:marinespecies.org:taxname:206614	Pavona
REIS560	CMLRE	SS394	HumanObservation	REIS560			present	2019-12-26	India	Angria Bank	16	32	16.48	72.0597			urn:lsid:marinespecies.org:taxname:206614	Pavona
REIS561	CMLRE	SS394	HumanObservation	REIS561			present	2019-12-27	India	Angria Bank	16	32	16.5838	72.0394			urn:lsid:marinespecies.org:taxname:206614	Pavona
REIS562	CMLRE	SS394	HumanObservation	REIS562			present	2019-12-24	India	Angria Bank	16	32	16.367	72.122			urn:lsid:marinespecies.org:taxname:206641	Turbinaria
REIS563	CMLRE	SS394	HumanObservation	REIS563			present	2019-12-26	India	Angria Bank	16	32	16.48	72.0597			urn:lsid:marinespecies.org:taxname:206641	Turbinaria
REIS564	CMLRE	SS394	HumanObservation	REIS564			present	2019-12-25	India	Angria Bank	16	32	16.385	72.039			urn:lsid:marinespecies.org:taxname:206488	Cyphastrea
REIS565	CMLRE	SS394	HumanObservation	REIS565			present	2019-12-26	India	Angria Bank	16	32	16.433	72.0597			urn:lsid:marinespecies.org:taxname:206488	Cyphastrea
REIS566	CMLRE	SS394	HumanObservation	REIS566			present	2019-12-26	India	Angria Bank	16	32	16.48	72.0597			urn:lsid:marinespecies.org:taxname:206488	Cyphastrea
REIS567	CMLRE	SS394	HumanObservation	REIS567			present	2019-12-27	India	Angria Bank	16	32	16.5838	72.0394			urn:lsid:marinespecies.org:taxname:206488	Cyphastrea
REIS568	CMLRE	SS394	HumanObservation	REIS568			present	2019-12-25	India	Angria Bank	16	32	16.385	72.039			urn:lsid:marinespecies.org:taxname:204221	Diploastrea
REIS569	CMLRE	SS394	HumanObservation	REIS569			present	2019-12-26	India	Angria Bank	16	32	16.48	72.0597			urn:lsid:marinespecies.org:taxname:204221	Diploastrea
REIS570	CMLRE	SS394	HumanObservation	REIS570			present	2019-12-27	India	Angria Bank	16	32	16.5838	72.0394			urn:lsid:marinespecies.org:taxname:204221	Diploastrea
REIS571	CMLRE	SS394	HumanObservation	REIS571			present	2019-12-25	India	Angria Bank	16	32	16.385	72.039			urn:lsid:marinespecies.org:taxname:205519	Echinopora
REIS572	CMLRE	SS394	HumanObservation	REIS572			present	2019-12-26	India	Angria Bank	16	32	16.433	72.0597			urn:lsid:marinespecies.org:taxname:205519	Echinopora
REIS573	CMLRE	SS394	HumanObservation	REIS573			present	2019-12-26	India	Angria Bank	16	32	16.48	72.0597			urn:lsid:marinespecies.org:taxname:205519	Echinopora
REIS574	CMLRE	SS394	HumanObservation	REIS574			present	2019-12-24	India	Angria Bank	16	32	16.381	72.177			urn:lsid:marinespecies.org:taxname:718691	Favia
REIS575	CMLRE	SS394	HumanObservation	REIS575			present	2019-12-24	India	Angria Bank	16	32	16.367	72.155			urn:lsid:marinespecies.org:taxname:718691	Favia
REIS576	CMLRE	SS394	HumanObservation	REIS576			present	2019-12-24	India	Angria Bank	16	32	16.367	72.122			urn:lsid:marinespecies.org:taxname:718691	Favia
REIS577	CMLRE	SS394	HumanObservation	REIS577			present	2019-12-25	India	Angria Bank	16	32	16.4	72.105			urn:lsid:marinespecies.org:taxname:718691	Favia
REIS578	CMLRE	SS394	HumanObservation	REIS578			present	2019-12-25	India	Angria Bank	16	32	16.385	72.039			urn:lsid:marinespecies.org:taxname:718691	Favia
REIS579	CMLRE	SS394	HumanObservation	REIS579			present	2019-12-26	India	Angria Bank	16	32	16.433	72.0597			urn:lsid:marinespecies.org:taxname:718691	Favia
REIS580	CMLRE	SS394	HumanObservation	REIS580			present	2019-12-26	India	Angria Bank	16	32	16.48	72.0597			urn:lsid:marinespecies.org:taxname:718691	Favia
REIS581	CMLRE	SS394	HumanObservation	REIS581			present	2019-12-27	India	Angria Bank	16	32	16.5838	72.0394			urn:lsid:marinespecies.org:taxname:718691	Favia
REIS582	CMLRE	SS394	HumanObservation	REIS582			present	2019-12-24	India	Angria Bank	16	32	16.381	72.177			urn:lsid:marinespecies.org:taxname:206158	Favites
REIS583	CMLRE	SS394	HumanObservation	REIS583			present	2019-12-24	India	Angria Bank	16	32	16.367	72.155			urn:lsid:marinespecies.org:taxname:206158	Favites
REIS584	CMLRE	SS394	HumanObservation	REIS584			present	2019-12-24	India	Angria Bank	16	32	16.367	72.122			urn:lsid:marinespecies.org:taxname:206158	Favites
REIS585	CMLRE	SS394	HumanObservation	REIS585			present	2019-12-25	India	Angria Bank	16	32	16.4	72.105			urn:lsid:marinespecies.org:taxname:206158	Favites
REIS586	CMLRE	SS394	HumanObservation	REIS586			present	2019-12-25	India	Angria Bank	16	32	16.385	72.039			urn:lsid:marinespecies.org:taxname:206158	Favites
REIS587	CMLRE	SS394	HumanObservation	REIS587			present	2019-12-26	India	Angria Bank	16	32	16.433	72.0597			urn:lsid:marinespecies.org:taxname:206158	Favites
REIS588	CMLRE	SS394	HumanObservation	REIS588			present	2019-12-26	India	Angria Bank	16	32	16.48	72.0597			urn:lsid:marinespecies.org:taxname:206158	Favites
REIS589	CMLRE	SS394	HumanObservation	REIS589			present	2019-12-27	India	Angria Bank	16	32	16.5838	72.0394			urn:lsid:marinespecies.org:taxname:206158	Favites
REIS590	CMLRE	SS394	HumanObservation	REIS590			present	2019-12-24	India	Angria Bank	16	32	16.367	72.155			urn:lsid:marinespecies.org:taxname:205082	Goniastrea
REIS591	CMLRE	SS394	HumanObservation	REIS591			present	2019-12-25	India	Angria Bank	16	32	16.4	72.105			urn:lsid:marinespecies.org:taxname:205082	Goniastrea
REIS592	CMLRE	SS394	HumanObservation	REIS592			present	2019-12-25	India	Angria Bank	16	32	16.385	72.039			urn:lsid:marinespecies.org:taxname:205082	Goniastrea
REIS593	CMLRE	SS394	HumanObservation	REIS593			present	2019-12-26	India	Angria Bank	16	32	16.433	72.0597			urn:lsid:marinespecies.org:taxname:205082	Goniastrea
REIS594	CMLRE	SS394	HumanObservation	REIS594			present	2019-12-26	India	Angria Bank	16	32	16.48	72.0597			urn:lsid:marinespecies.org:taxname:205082	Goniastrea
REIS595	CMLRE	SS394	HumanObservation	REIS595			present	2019-12-27	India	Angria Bank	16	32	16.5838	72.0394			urn:lsid:marinespecies.org:taxname:205082	Goniastrea
REIS596	CMLRE	SS394	HumanObservation	REIS596			present	2019-12-25	India	Angria Bank	16	32	16.385	72.039			urn:lsid:marinespecies.org:taxname:204278	Leptastrea
REIS597	CMLRE	SS394	HumanObservation	REIS597			present	2019-12-26	India	Angria Bank	16	32	16.433	72.0597			urn:lsid:marinespecies.org:taxname:204278	Leptastrea
REIS598	CMLRE	SS394	HumanObservation	REIS598			present	2019-12-26	India	Angria Bank	16	32	16.48	72.0597			urn:lsid:marinespecies.org:taxname:204278	Leptastrea
REIS599	CMLRE	SS394	HumanObservation	REIS599			present	2019-12-27	India	Angria Bank	16	32	16.5838	72.0394			urn:lsid:marinespecies.org:taxname:204278	Leptastrea
REIS600	CMLRE	SS394	HumanObservation	REIS600			present	2019-12-24	India	Angria Bank	16	32	16.381	72.177			urn:lsid:marinespecies.org:taxname:248068	Montastrea
REIS601	CMLRE	SS394	HumanObservation	REIS601			present	2019-12-24	India	Angria Bank	16	32	16.367	72.155			urn:lsid:marinespecies.org:taxname:248068	Montastrea
REIS602	CMLRE	SS394	HumanObservation	REIS602			present	2019-12-24	India	Angria Bank	16	32	16.367	72.122			urn:lsid:marinespecies.org:taxname:248068	Montastrea
REIS603	CMLRE	SS394	HumanObservation	REIS603			present	2019-12-25	India	Angria Bank	16	32	16.4	72.105			urn:lsid:marinespecies.org:taxname:248068	Montastrea
REIS604	CMLRE	SS394	HumanObservation	REIS604			present	2019-12-25	India	Angria Bank	16	32	16.385	72.039			urn:lsid:marinespecies.org:taxname:248068	Montastrea
REIS605	CMLRE	SS394	HumanObservation	REIS605			present	2019-12-26	India	Angria Bank	16	32	16.433	72.0597			urn:lsid:marinespecies.org:taxname:248068	Montastrea
REIS606	CMLRE	SS394	HumanObservation	REIS606			present	2019-12-26	India	Angria Bank	16	32	16.48	72.0597			urn:lsid:marinespecies.org:taxname:248068	Montastrea
REIS607	CMLRE	SS394	HumanObservation	REIS607			present	2019-12-27	India	Angria Bank	16	32	16.5838	72.0394			urn:lsid:marinespecies.org:taxname:248068	Montastrea
REIS608	CMLRE	SS394	HumanObservation	REIS608			present	2019-12-24	India	Angria Bank	16	32	16.367	72.155			urn:lsid:marinespecies.org:taxname:206621	Platygyra
REIS609	CMLRE	SS394	HumanObservation	REIS609			present	2019-12-24	India	Angria Bank	16	32	16.367	72.122			urn:lsid:marinespecies.org:taxname:206621	Platygyra
REIS610	CMLRE	SS394	HumanObservation	REIS610			present	2019-12-25	India	Angria Bank	16	32	16.385	72.039			urn:lsid:marinespecies.org:taxname:206621	Platygyra
REIS611	CMLRE	SS394	HumanObservation	REIS611			present	2019-12-26	India	Angria Bank	16	32	16.433	72.0597			urn:lsid:marinespecies.org:taxname:206621	Platygyra
REIS612	CMLRE	SS394	HumanObservation	REIS612			present	2019-12-26	India	Angria Bank	16	32	16.48	72.0597			urn:lsid:marinespecies.org:taxname:206621	Platygyra
REIS613	CMLRE	SS394	HumanObservation	REIS613			present	2019-12-25	India	Angria Bank	16	32	16.385	72.039			urn:lsid:marinespecies.org:taxname:206375	Fungia
REIS614	CMLRE	SS394	HumanObservation	REIS614			present	2019-12-26	India	Angria Bank	16	32	16.48	72.0597			urn:lsid:marinespecies.org:taxname:206375	Fungia
REIS615	CMLRE	SS394	HumanObservation	REIS615			present	2019-12-25	India	Angria Bank	16	32	16.385	72.039			urn:lsid:marinespecies.org:taxname:206539	Heliofungia
REIS616	CMLRE	SS394	HumanObservation	REIS616			present	2019-12-24	India	Angria Bank	16	32	16.367	72.122			urn:lsid:marinespecies.org:taxname:204552	Cycloseris
REIS617	CMLRE	SS394	HumanObservation	REIS617			present	2019-12-24	India	Angria Bank	16	32	16.367	72.155			urn:lsid:marinespecies.org:taxname:206405	Acanthastrea
REIS618	CMLRE	SS394	HumanObservation	REIS618			present	2019-12-25	India	Angria Bank	16	32	16.385	72.039			urn:lsid:marinespecies.org:taxname:206405	Acanthastrea
REIS619	CMLRE	SS394	HumanObservation	REIS619			present	2019-12-26	India	Angria Bank	16	32	16.48	72.0597			urn:lsid:marinespecies.org:taxname:206405	Acanthastrea
REIS620	CMLRE	SS394	HumanObservation	REIS620			present	2019-12-24	India	Angria Bank	16	32	16.367	72.122			urn:lsid:marinespecies.org:taxname:205310	Lobophyllia
REIS621	CMLRE	SS394	HumanObservation	REIS621			present	2019-12-26	India	Angria Bank	16	32	16.433	72.0597			urn:lsid:marinespecies.org:taxname:205310	Lobophyllia
REIS622	CMLRE	SS394	HumanObservation	REIS622			present	2019-12-26	India	Angria Bank	16	32	16.48	72.0597			urn:lsid:marinespecies.org:taxname:205310	Lobophyllia
REIS623	CMLRE	SS394	HumanObservation	REIS623			present	2019-12-26	India	Angria Bank	16	32	16.48	72.0597			urn:lsid:marinespecies.org:taxname:204384	Scolymia
REIS624	CMLRE	SS394	HumanObservation	REIS624			present	2019-12-24	India	Angria Bank	16	32	16.367	72.155			urn:lsid:marinespecies.org:taxname:205189	Symphyllia
REIS625	CMLRE	SS394	HumanObservation	REIS625			present	2019-12-24	India	Angria Bank	16	32	16.367	72.122			urn:lsid:marinespecies.org:taxname:205189	Symphyllia
REIS626	CMLRE	SS394	HumanObservation	REIS626			present	2019-12-25	India	Angria Bank	16	32	16.385	72.039			urn:lsid:marinespecies.org:taxname:205189	Symphyllia
REIS627	CMLRE	SS394	HumanObservation	REIS627			present	2019-12-26	India	Angria Bank	16	32	16.433	72.0597			urn:lsid:marinespecies.org:taxname:205189	Symphyllia
REIS628	CMLRE	SS394	HumanObservation	REIS628			present	2019-12-26	India	Angria Bank	16	32	16.48	72.0597			urn:lsid:marinespecies.org:taxname:205189	Symphyllia
